Module / Category,Subsystem / Assembly,Part Description,Agilent Part Number,Replacement For / Original Part,Status,Torque / Service Note,Where to Buy,Notes
Multicolumn Thermostat (G7116B),Accessory kit,Quick Turn fitting,5067-5966,5067-4730,Corrected from original,Hand tight; follow fitting instructions,https://www.agilent.com/store/en_US/Prod-5067-5966/5067-5966,Current InfinityLab Quick Turn fitting listed for G7116B accessory kit.
Multicolumn Thermostat (G7116B),Accessory kit,Quick Connect assembly ST 0.12 x 105 mm,5067-5957,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5957/5067-5957,
Multicolumn Thermostat (G7116B),Accessory kit,"Column holder lamella, 2/pk",G7116-68003,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-68003/G7116-68003,
Multicolumn Thermostat (G7116B),Accessory kit,Fitting mounting tool,5043-0915,,Added - tool,N/A,https://www.agilent.com/store/en_US/Prod-5043-0915/5043-0915,
Multicolumn Thermostat (G7116B),Accessory kit,"Divider assembly, MCT",G7116-60006,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-60006/G7116-60006,
Multicolumn Thermostat (G7116B),Accessory kit,Union,5022-2184,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5022-2184/5022-2184,
Multicolumn Thermostat (G7116B),Consumables,Column holder clamp,G7116-68004,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-68004/G7116-68004,
Multicolumn Thermostat (G7116B),Consumables,InfinityLab Column Identification Tag,5067-5917,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5067-5917/5067-5917,
Multicolumn Thermostat (G7116B),Consumables,InfinityLab Thermal Equilibration Device,G7116-60013,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7116-60013/G7116-60013,
Multicolumn Thermostat (G7116B),Fittings/capillaries,InfinityLab Quick Connect LC fitting,5067-5965,,Added - baseline/standard,Hand tight; follow fitting instructions,https://www.agilent.com/store/en_US/Prod-5067-5965/5067-5965,
Multicolumn Thermostat (G7116B),Fittings/capillaries,InfinityLab Quick Connect/Quick Turn front ferrule,5043-0924,,Added - baseline/standard,Hand tight; follow fitting instructions,https://www.agilent.com/store/en_US/Prod-5043-0924/5043-0924,
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.075 x 105 mm,5067-5961,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5961/5067-5961,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.075 x 150 mm,5067-6163,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6163/5067-6163,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.075 x 220 mm,5067-6164,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6164/5067-6164,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.075 x 280 mm,5067-6165,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6165/5067-6165,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.12 x 150 mm,5067-5958,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5958/5067-5958,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.12 x 220 mm,5067-5959,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5959/5067-5959,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.12 x 280 mm,5067-5960,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5960/5067-5960,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.17 x 105 mm,5067-6166,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6166/5067-6166,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.17 x 150 mm,5067-6167,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6167/5067-6167,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.17 x 220 mm,5067-6168,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6168/5067-6168,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect assembly ST 0.17 x 280 mm,5067-6169,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6169/5067-6169,Select ID/length by column and flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.075 x 105 mm,5500-1174,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1174/5500-1174,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.075 x 150 mm,5500-1175,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1175/5500-1175,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.075 x 220 mm,5500-1176,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1176/5500-1176,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.075 x 280 mm,5500-1177,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1177/5500-1177,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.075 x 340 mm,5500-1178,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1178/5500-1178,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.12 x 105 mm,5500-1173,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1173/5500-1173,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.12 x 150 mm,5500-1172,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1172/5500-1172,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.12 x 220 mm,5500-1171,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1171/5500-1171,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.12 x 280 mm,5500-1170,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1170/5500-1170,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.12 x 340 mm,5500-1179,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1179/5500-1179,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.12 x 400 mm,5500-1180,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1180/5500-1180,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.17 x 105 mm,5500-1181,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1181/5500-1181,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.17 x 150 mm,5500-1182,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1182/5500-1182,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.17 x 220 mm,5500-1183,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1183/5500-1183,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.17 x 280 mm,5500-1230,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1230/5500-1230,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.17 x 340 mm,5500-1231,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1231/5500-1231,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.25 x 340 mm,5500-1259,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1259/5500-1259,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Connect capillary ST 0.25 x 500 mm,5500-1260,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1260/5500-1260,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.075 x 130 mm,5500-1198,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1198/5500-1198,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.075 x 200 mm,5500-1232,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1232/5500-1232,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.075 x 280 mm,5500-1206,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1206/5500-1206,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.075 x 340 mm,5500-1205,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1205/5500-1205,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.12 x 130 mm,5500-1188,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1188/5500-1188,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.12 x 200 mm,5500-1189,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1189/5500-1189,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.12 x 220 mm,5500-1233,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1233/5500-1233,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.12 x 250 mm,5500-1190,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1190/5500-1190,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.12 x 340 mm,5500-1192,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1192/5500-1192,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 130 mm,5500-1193,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1193/5500-1193,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 200 mm,5500-1194,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1194/5500-1194,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 220 mm,5500-1234,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1234/5500-1234,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 250 mm,5500-1195,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1195/5500-1195,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 280 mm,5500-1196,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1196/5500-1196,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 340 mm,5500-1235,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1235/5500-1235,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 400 mm,5500-1236,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1236/5500-1236,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 500 mm,5500-1197,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1197/5500-1197,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.17 x 600 mm,5500-1237,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1237/5500-1237,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.25 x 500 mm,5500-1262,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1262/5500-1262,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.25 x 700 mm,5500-1263,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1263/5500-1263,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.25 x 1050 mm,5500-1200,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1200/5500-1200,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.25 x 200 mm,5500-1288,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1288/5500-1288,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Fittings/capillaries,Quick Turn capillary ST 0.25 x 340 mm,5500-1290,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1290/5500-1290,Replacement capillary; select ID/length by flow-path configuration.
Multicolumn Thermostat (G7116B),Column ID,Column ID right flex-board,G7116-81001,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7116-81001/G7116-81001,
Multicolumn Thermostat (G7116B),Column ID,Column ID left flex-board,G7116-81002,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7116-81002/G7116-81002,
Multicolumn Thermostat (G7116B),Column ID,"Column ID Kit, left",5067-5915,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-5067-5915/5067-5915,
Multicolumn Thermostat (G7116B),Column ID,"Column ID Kit, right",5067-5916,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-5067-5916/5067-5916,
Multicolumn Thermostat (G7116B),Column ID,Column ID upgrade kit for G7116B,G4750B,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G4750B/G4750B,
Diode Array Detector (G7117B),Flow cell/lamp,"Max-Light Cartridge Cell, 10 mm, V(sigma) 1.0 uL",G4212-60008,G7115-60008,Corrected from original,Follow flow-cell installation instructions,https://www.agilent.com/store/en_US/Prod-G4212-60008/G4212-60008,Correct flow cell for G7117B DAD parts list.
Diode Array Detector (G7117B),Flow cell/lamp,"Max-Light Cartridge Cell, 60 mm, V(sigma) 4.0 uL",G4212-60007,,Added - optional/variant,Follow flow-cell installation instructions,https://www.agilent.com/store/en_US/Prod-G4212-60007/G4212-60007,
Diode Array Detector (G7117B),Flow cell/lamp,"Max-Light Cartridge Cell LSS, 10 mm",G7117-60020,,Added - optional/variant,Follow flow-cell installation instructions,https://www.agilent.com/store/en_US/Prod-G7117-60020/G7117-60020,
Diode Array Detector (G7117B),Flow cell/lamp,Max-Light Cartridge Test Cell,G4212-60011,,Added - optional/variant,Follow flow-cell installation instructions,https://www.agilent.com/store/en_US/Prod-G4212-60011/G4212-60011,
Diode Array Detector (G7117B),Flow cell/lamp,"HDR Max-Light Cartridge Cell, 3.7 mm",G4212-60032,,Added - optional/variant,Follow flow-cell installation instructions,https://www.agilent.com/store/en_US/Prod-G4212-60032/G4212-60032,
Diode Array Detector (G7117B),Flow cell/lamp,"ULD Max-Light Cartridge Cell, 10 mm",G4212-60038,,Added - optional/variant,Follow flow-cell installation instructions,https://www.agilent.com/store/en_US/Prod-G4212-60038/G4212-60038,
Diode Array Detector (G7117B),Flow cell/lamp,"Long-life Deuterium lamp, 8-pin, RFID",5190-0917,2140-0820,Corrected from original,Follow lamp replacement instructions,https://www.agilent.com/store/en_US/Prod-5190-0917/5190-0917,Correct long-life lamp listed in G7117B DAD parts page.
Diode Array Detector (G7117B),Leak/waste parts,Leak adapter,5043-0856,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5043-0856/5043-0856,
Diode Array Detector (G7117B),Leak/waste parts,"Waste accessory kit, flow cell to waste",5062-8535,5062-2462,Corrected from original,N/A,https://www.agilent.com/store/en_US/Prod-5062-8535/5062-8535,Correct DAD waste tubing/accessory kit row.
Diode Array Detector (G7117B),Leak/waste parts,"Tubing silicone rubber, 1.2 m",5063-6527,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5063-6527/5063-6527,
Diode Array Detector (G7117B),Leak/waste parts,Tubing clip,5043-1013,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5043-1013/5043-1013,
Diode Array Detector (G7117B),Doors/accessory kit,"Door 140 mm right, Infinity III",5360-0015,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5360-0015/5360-0015,Orderable as part of 5004-3140.
Diode Array Detector (G7117B),Doors/accessory kit,"Door 140 mm left, Infinity III",5360-0016,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5360-0016/5360-0016,Orderable as part of 5004-3140.
Diode Array Detector (G7117B),Doors/accessory kit,"Door kit, 140 mm, Infinity III",5004-3140,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5004-3140/5004-3140,Includes right and left 140 mm doors per DAD parts page notes.
Diode Array Detector (G7117B),Doors/accessory kit,Accessory kit for G7117B,G7117-68755,,Added - kit/accessory,N/A,https://www.agilent.com/store/en_US/Prod-G7117-68755/G7117-68755,
Diode Array Detector (G7117B),Doors/accessory kit,"CAN cable, 0.5 m",5181-1516,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5181-1516/5181-1516,
General / Stack Consumables,Solvent inlet,"Solvent bottle inlet filter, 20 um, glass",5041-2168,5041-2164,Corrected from original,N/A,https://www.agilent.com/store/en_US/Prod-5041-2168/5041-2168,Original 5041-2164 is marked obsolete by Agilent with no direct replacement recommendation; 5041-2168 is current common 20 um glass inlet filter.
General / Stack Consumables,Solvent inlet,Obsolete solvent inlet filter - do not reorder without confirmation,5041-2164,,Obsolete/verify only,N/A,https://www.agilent.com/store/en_US/Prod-5041-2164/5041-2164,Included only to document original-list issue.
General / Stack Consumables,Inline filters,"Inline filter frit for 1290 inline filter, 0.3 um, 5/pk",5023-0271,5067-4630 / 0100-1023,Corrected from original,Follow filter instructions,https://www.agilent.com/store/en_US/Prod-5023-0271/5023-0271,Use installed inline filter body and column configuration to confirm frit/frit size.
General / Stack Consumables,Fittings,"Union, stainless steel",0100-0900,,Original - verify installed use,Follow fitting instructions,https://www.agilent.com/store/en_US/Prod-0100-0900/0100-0900,Kept from original list as generic fitting; verify against actual flow path before ordering.
System / Optional,Solvent cabinet / level sensing,InfinityLab Level Sensing Kit,G7175A,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7175A/G7175A,Agilent system manual lists InfinityLab Level Sensing kit for 1290 Infinity III systems.
