Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Waters Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
SKU,CORTECS C18 Column,186007367,"Solid-core CORTECS C18 column for high-efficiency LC separations.","90 A; 2.7 um; 2.1 mm x 100 mm.","Fast reversed-phase LC/UHPLC, balanced small molecule separations.",Sign in to view Waters price,CORTECS C18,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Solid-core Column,No,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/186007367-cortecs-c18-column-90a-27--m-21-mm-x-100-mm-1-pk.html,186007682,"CORTECS C18 VanGuard Cartridge, 90 A, 2.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186007682-cortecs-c18-vanguard-cartridge-90a-27--m-21-mm-x-5-mm-3-pk.html,,Matched,"Waters says this cartridge protects 2.1 and 3.0 mm ID CORTECS C18 analytical columns with 2.7 um particles."
SKU,CORTECS C18+ Column,186007400,"Solid-core CORTECS C18+ column for improved peak shape of basic analytes.","90 A; 2.7 um; 2.1 mm x 100 mm typical.","Basic analytes, general reversed-phase LC.",Sign in to view Waters price,CORTECS C18+,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Solid-core Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html",,Needs verification,"Use matching CORTECS C18+ VanGuard cartridge; exact SKU not validated."
SKU,CORTECS T3 Column,186008500,"Solid-core T3 column for balanced retention of polar and nonpolar analytes.","90 A; 2.7 um; 2.1 mm x 100 mm typical.","Polar/nonpolar analytes; aqueous-compatible reversed phase.",Sign in to view Waters price,CORTECS T3,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Solid-core Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html",,Needs verification,"Use matching CORTECS T3 VanGuard cartridge; exact SKU not validated."
SKU,CORTECS HILIC Column,186007600,"Solid-core CORTECS HILIC column.","90 A; 2.7 um; 2.1 mm x 100 mm typical.","Polar analytes in HILIC workflows.",Sign in to view Waters price,CORTECS HILIC,HILIC,2.7 um,2.1 mm,100 mm,90 A,Solid-core Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/cortecs-columns.html",,Needs verification,"Use matching CORTECS HILIC VanGuard cartridge; exact SKU not validated."
SKU,CORTECS Premier C18 Column,186010721,"CORTECS Premier C18 column with MaxPeak Premier/HPS hardware.","90 A; 2.7 um; 2.1 mm x 50 mm typical.","Metal-sensitive compounds, fast reversed-phase LC, small molecules.",Sign in to view Waters price,CORTECS Premier C18,Reversed Phase,2.7 um,2.1 mm,50 mm,90 A,MaxPeak Premier / Solid-core,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,186010870,"CORTECS Premier C18 VanGuard FIT Cartridge, 90 A, 5 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,,Needs verification,"Premier/FIT guard part number seen in public index; verify particle size and exact analytical column before ordering."
SKU,Atlantis T3 Column,186003729,"Silica T3 C18 column for retaining polar compounds and broad-polarity mixtures.","100 A; 3 um; 4.6 mm x 150 mm; pH 2-8.","Polar and nonpolar molecules; aqueous-compatible reversed-phase HPLC.",Sign in to view Waters price,Atlantis T3,Reversed Phase,3 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/en/shop/columns/186003729-atlantis-t3-column-100a-3--m-46-mm-x-150-mm-1-pk.html,186007676,"Atlantis T3 VanGuard Cartridge, 100 A, 3 um, 3.9 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186007676-atlantis-t3-vanguard-cartridge-100a-3--m-39-mm-x-5-mm-3-pk.html,,Matched,"Waters states this guard protects 3.9 and 4.6 mm ID Atlantis T3 columns with 3 um particles."
SKU,Atlantis T3 Column,186003748,"Silica T3 C18 column for retaining polar compounds and broad-polarity mixtures.","100 A; 5 um; 4.6 mm x 150 mm typical; pH 2-8.","Polar and nonpolar molecules; aqueous-compatible reversed-phase HPLC.",Sign in to view Waters price,Atlantis T3,Reversed Phase,5 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/atlantis-columns.html,186007680,"Atlantis T3 VanGuard Cartridge, 100 A, 5 um, 3.9 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186007680-atlantis-t3-vanguard-cartridge-100a-5--m-39-mm-x-5-mm-3-pk.html,,Matched,"Waters states this guard protects 3.9 and 4.6 mm ID Atlantis T3 analytical columns with 5 um particles."
SKU,Atlantis dC18 Column,186001301,"Difunctionally bonded silica C18 column for polar-compound retention and 100% aqueous operation.","100 A; 5 um; 4.6 mm x 150 mm typical.","Polar compounds, aqueous-compatible reversed phase.",Sign in to view Waters price,Atlantis dC18,Reversed Phase,5 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/atlantis-columns.html,186001379,"Atlantis dC18 Guard Column, 100 A, 5 um, 2.1 mm x 10 mm, 1/pk",https://www.waters.com/nextgen/us/en/products/columns/atlantis-columns.html,,Needs verification,"Guard part number identified from public distributor/indexed data; verify ID/hardware on Waters before ordering."
SKU,Atlantis HILIC Silica Column,186002012,"Atlantis HILIC Silica column for polar compounds using organic-rich mobile phases.","3 um or 5 um; silica HILIC formats.","Bioanalytical polar compounds; HILIC LC/MS.",Sign in to view Waters price,Atlantis HILIC Silica,HILIC,3 um; 5 um,Multiple,Multiple,100 A,Silica HILIC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/atlantis-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/atlantis-columns.html",,Needs verification,"Use matching Atlantis HILIC guard by particle size and ID; exact guard SKU not validated."
SKU,Symmetry C18 Column,WAT054275,"High-reproducibility silica C18 HPLC column.","100 A; 5 um; 4.6 mm x 150 mm typical.","Validated reversed-phase pharmaceutical methods.",Sign in to view Waters price,Symmetry C18,Reversed Phase,5 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/symmetry-hplc-columns.html,WAT054225,"Symmetry C18 Guard Column / Sentry Guard Cartridge, 100 A, 5 um, 3.9 or 4.6 mm format",https://www.waters.com/nextgen/us/en/products/columns/symmetry-hplc-columns.html,,Needs verification,"Use matching Symmetry C18 guard/Sentry cartridge; exact current Waters SKU should be confirmed."
SKU,SymmetryShield RP18 Column,186000109,"Embedded-polar-group SymmetryShield RP18 column.","100 A; 5 um; 4.6 mm x 150 mm typical.","Basic compounds and alternate selectivity vs traditional C18.",Sign in to view Waters price,SymmetryShield RP18,Reversed Phase,5 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/symmetry-hplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/symmetry-hplc-columns.html",,Needs verification,"Use matching SymmetryShield RP18 guard; exact current Waters SKU not validated."
SKU,SunFire C18 Column,186002559,"High-purity silica C18 HPLC column for sharp peaks and high loading.","100 A; 5 um; 4.6 mm x 150 mm typical.","Small molecule reversed-phase methods; method transfer from older silica C18 methods.",Sign in to view Waters price,SunFire C18,Reversed Phase,5 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/sunfire-columns.html,186002565,"SunFire C18 Sentry Guard Cartridge, 100 A, 5 um, 4.6 mm x 20 mm, 2/pk",https://www.waters.com/nextgen/us/en/products/columns/sunfire-columns.html,,Needs verification,"Use matching SunFire C18 Sentry guard; exact Waters page/SKU should be confirmed."
SKU,SunFire Prep C18 OBD Column,186002157,"Preparative C18 OBD column.","100 A; 5 um; 19 mm x 150 mm typical; OBD prep hardware.","Preparative reversed-phase purification.",Contact Waters / quote,SunFire Prep C18,Preparative Reversed Phase,5 um,19 mm,150 mm,100 A,OBD Prep Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/sunfire-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/sunfire-columns.html",,Needs verification - prep scale,"Prep guard selection depends on OBD hardware, ID, and method scale."
SKU,BioResolve SEC mAb Column,186009435,"SEC mAb column for monoclonal antibody aggregate and fragment analysis; Waters notes newer Premier SEC options for new methods.","200 A; 2.5 um; 4.6 mm x 150 mm; pH 2.5-8; 4500 psi.","mAb aggregate/fragment SEC; protein size variants.",Sign in to view Waters price,BioResolve SEC mAb,SEC,2.5 um,4.6 mm,150 mm,200 A,HPLC SEC Column,No,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/186009435-bioresolve-sec-mab-column-200a-25--m-46-x-150-mm-1-pk.html,176004596,"BioResolve SEC mAb Column with BioResolve SEC mAb Guard, 200 A, 2.5 um, 4.6 mm x 150 mm kit",https://www.waters.com/nextgen/us/en/shop/columns/176004596-bioresolve-sec-mab-column-with-bioresolve-sec-mab-guard-200a-25-.html,,Matched kit / verify standalone guard,"Waters sells column-with-guard kits; confirm whether standalone guard is needed."
SKU,BioResolve SEC mAb Column with Guard Kit,176004598,"BioResolve SEC mAb column kit with BioResolve SEC mAb guard and mAb Size Variant Standard.","200 A; 2.5 um; 7.8 mm x 150 mm; includes guard; pH 2.5-8.","mAb size variants, aggregate/fragment SEC.",Contact Waters / not available for sale online,BioResolve SEC mAb,SEC,2.5 um,7.8 mm,150 mm,200 A,Column + Guard Kit,Yes,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/176004598-bioresolve-sec-mab-column-with-bioresolve-sec-mab-guard-200a-25-.html,176004598,"BioResolve SEC mAb Column with Guard Kit",https://www.waters.com/nextgen/us/en/shop/columns/176004598-bioresolve-sec-mab-column-with-bioresolve-sec-mab-guard-200a-25-.html,,This row includes guard,"This SKU is a column-with-guard kit."
SKU,Protein-Pak Hi Res Q Column,186004931,"High-resolution strong anion-exchange Protein-Pak column.","4.6 mm x 100 mm typical; pH 2-11.","Proteins and peptides; charge variant/IEX separations.",Sign in to view Waters price,Protein-Pak Hi Res Q,Ion Exchange / AEX,Multiple,4.6 mm,100 mm,,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/protein-pak-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/protein-pak-columns.html",,Needs verification,"Protein-Pak guard availability depends on IEX chemistry and format; exact guard SKU not validated."
SKU,Protein-Pak Hi Res CM Column,186004929,"High-resolution weak cation-exchange Protein-Pak column.","4.6 mm x 100 mm typical.","Proteins and peptides; charge variant/CEX separations.",Sign in to view Waters price,Protein-Pak Hi Res CM,Ion Exchange / CEX,Multiple,4.6 mm,100 mm,,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/protein-pak-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/protein-pak-columns.html",,Needs verification,"Protein-Pak guard availability depends on IEX chemistry and format; exact guard SKU not validated."
SKU,Protein-Pak Hi Res HIC Column,176003576,"Hydrophobic interaction chromatography column for proteins.","4.6 mm x 100 mm; 2.5 um typical.","Protein HIC separations and lab-scale purification.",Sign in to view Waters price,Protein-Pak Hi Res HIC,HIC,2.5 um,4.6 mm,100 mm,,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/protein-pak-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/protein-pak-columns.html",,Needs verification,"Use matching HIC guard/kit if available; exact guard SKU not validated."
SKU,XBridge Premier Protein SEC Column,186009894,"Premier protein SEC column with MaxPeak HPS for improved recovery of metal-sensitive biomolecules.","250 A; sub-3-um class; common 4.6 or 7.8 mm formats.","Protein SEC, aggregates/fragments, improved recovery/sensitivity.",Sign in to view Waters price,XBridge Premier Protein SEC,SEC,2.5 um typical,Multiple,Multiple,250 A,MaxPeak Premier SEC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html",,Needs verification,"Match Premier Protein SEC guard by pore, particle, ID, and hardware; exact guard SKU not validated."
SKU,ACQUITY Premier Protein SEC Column,186009964,"ACQUITY Premier Protein SEC column with MaxPeak HPS.","250 A; UPLC/SEC format.","Protein and peptide SEC with reduced nonspecific adsorption.",Sign in to view Waters price,ACQUITY Premier Protein SEC,SEC,Multiple,Multiple,Multiple,250 A,MaxPeak Premier SEC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html",,Needs verification,"Match Premier Protein SEC guard by pore, particle, ID, and hardware; exact guard SKU not validated."
SKU,BioResolve RP mAb Polyphenyl Column,186008944,"Reversed-phase BioResolve column for intact/subunit mAb separations.","450 A; 2.7 um; common 2.1 mm ID formats.","Intact and subunit monoclonal antibody reversed-phase separations.",Sign in to view Waters price,BioResolve RP mAb Polyphenyl,Reversed Phase,2.7 um,2.1 mm,Multiple,450 A,Biocolumn,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/bioresolve-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/bioresolve-columns.html",,Needs verification,"Use matching BioResolve RP mAb guard/pre-column if available; exact guard SKU not validated."
SKU,BioResolve SCX mAb Column,186009060,"Strong cation-exchange column for mAb charge variants.","Nonporous/particle technology varies by format; common 4.6 mm ID.","mAb charge variant analysis.",Sign in to view Waters price,BioResolve SCX mAb,Ion Exchange / SCX,Multiple,4.6 mm,Multiple,,Biocolumn,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/bioresolve-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/bioresolve-columns.html",,Needs verification,"Use matching BioResolve SCX mAb guard if available; exact guard SKU not validated."
SKU,Nova-Pak C18 Column,WAT086344,"Legacy silica-based C18 HPLC column.","60 A; 4 um; 3.9 mm x 150 mm typical.","Legacy validated methods and routine small-molecule reversed phase.",Sign in to view Waters price,Nova-Pak C18,Reversed Phase,4 um,3.9 mm,150 mm,60 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/nova-pak-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/nova-pak-columns.html",,Needs verification,"Legacy guard selection varies by holder/hardware; verify with Waters."
SKU,Spherisorb ODS2 Column,PSS831915,"Legacy Spherisorb ODS2 HPLC column.","5 um; 4.6 mm x 250 mm typical.","Legacy reversed-phase methods; analytical and preparative HPLC.",Sign in to view Waters price,Spherisorb ODS2,Reversed Phase,5 um,4.6 mm,250 mm,,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/waters-spherisorb-hplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/waters-spherisorb-hplc-columns.html",,Needs verification,"Legacy guard selection varies by chemistry, ID, and holder."
SKU,Waters Spherisorb Silica Column,PSS830915,"Legacy Spherisorb silica normal-phase column.","5 um; 4.6 mm x 250 mm typical.","Normal-phase chromatography; legacy methods.",Sign in to view Waters price,Spherisorb Silica,Normal Phase,5 um,4.6 mm,250 mm,,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/waters-spherisorb-hplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/waters-spherisorb-hplc-columns.html",,Needs verification,"Legacy guard selection varies by chemistry, ID, and holder."
SKU,MaxPeak Premier OBD Prep C18 Column,186010000-PREP,"MaxPeak Premier OBD preparative reversed-phase column.","Prep ID and length vary; MaxPeak Premier/HPS prep hardware.","Preparative purification of metal-sensitive analytes.",Contact Waters / quote,MaxPeak Premier OBD Prep,Preparative Reversed Phase,5 um typical,Multiple prep IDs,Multiple,Multiple,MaxPeak Premier OBD Prep,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html",,Needs verification - prep scale,"Prep guard selection depends on column ID, phase, and prep hardware; verify with Waters."
