Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Phenomenex Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
SKU,bioZen 1.8 um SEC-2 LC Column,00F-4769-E0,Size-exclusion column for biomolecules.,"150 x 4.6 mm; 1.8 um; 150 A; 480 bar max.",Low molecular-weight separations; proteins and fragments.,Sign in to view country-specific pricing,bioZen,Size Exclusion (SEC),1.8 um,4.6 mm,150 mm,150 A,SEC column,No,Ea,https://www.phenomenex.com/part/00f-4769-e0,,bioZen SEC-2 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"SEC guard depends on SEC-2/dSEC-2 phase, pore size and ID; confirm with GuardFinder."
SKU,bioZen 1.8 um SEC-2 LC Column,00H-4769-E0,Size-exclusion column for biomolecules.,"300 x 4.6 mm; 1.8 um; 150 A; 480 bar max.",Higher-resolution SEC for biomolecules.,Sign in to view country-specific pricing,bioZen,Size Exclusion (SEC),1.8 um,4.6 mm,300 mm,150 A,SEC column,No,Ea,https://www.phenomenex.com/part/00h-4769-e0,,bioZen SEC-2 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"SEC guard depends on SEC-2/dSEC-2 phase, pore size and ID; confirm with GuardFinder."
SKU,bioZen 1.8 um dSEC-2 200 A LC Column,00F-4787-E0,BioZen dSEC-2 size-exclusion column.,"150 x 4.6 mm; 1.8 um; 200 A; 550 bar max.",mAb/biomolecule SEC with 200 A pore size.,Sign in to view country-specific pricing,bioZen,Size Exclusion (SEC),1.8 um,4.6 mm,150 mm,200 A,SEC column,No,Ea,https://www.phenomenex.com/part/00f-4787-e0,,bioZen dSEC-2 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"Confirm dSEC-2 guard for 200 A and ID."
SKU,bioZen 2.6 um Glycan LC Column,00D-4773-AN,HILIC glycan analysis column.,"100 x 2.1 mm; 2.6 um; 100 A; pH 2-7.5; 600 bar max.",Glycan analysis and released glycan workflows.,Sign in to view country-specific pricing,bioZen,HILIC,2.6 um,2.1 mm,100 mm,100 A,Bio LC column,No,Ea,https://www.phenomenex.com/part/00d-4773-an,,SecurityGuard bioZen Glycan / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use bioZen Glycan guard if listed; confirm exact cartridge."
SKU,bioZen 2.6 um Oligo LC Column,00F-4790-AN,bioZen Oligo reversed-phase column.,"150 x 2.1 mm; 2.6 um.",Oligonucleotide analysis/purification workflows.,Sign in to view country-specific pricing,bioZen,Reversed Phase,2.6 um,2.1 mm,150 mm,,Bio LC column,No,Ea,https://www.phenomenex.com/part/00f-4790-an,,SecurityGuard bioZen Oligo / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use bioZen Oligo guard if listed; confirm exact cartridge."
SKU,bioZen 6 um WCX LC Column,00F-4777-AN,Weak cation-exchange bioZen column.,"150 x 2.1 mm; 6 um.",Protein/mAb charge variant analysis by WCX.,Sign in to view country-specific pricing,bioZen,Ion Exchange / WCX,6 um,2.1 mm,150 mm,,Bio LC column,No,Ea,https://www.phenomenex.com/part/00f-4777-an,,SecurityGuard bioZen WCX / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"Ion-exchange guard selection is phase-specific; confirm exact guard."
SKU,Aeris 3.6 um PEPTIDE XB-C18 100 A LC Column,00F-4507-E0,Core-shell peptide XB-C18 column.,"150 x 4.6 mm; 3.6 um; 100 A; pH 1.5-9; 1034 bar max.",Peptides and peptide mapping.,$1,206.00 USD,Aeris,Reversed Phase,3.6 um,4.6 mm,150 mm,100 A,Core-shell peptide column,No,Ea,https://www.phenomenex.com/part/00f-4507-e0,,SecurityGuard C18-Peptide / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use peptide C18 guard cartridge matching Aeris phase and ID."
SKU,Aeris 3.6 um PEPTIDE XB-C18 100 A LC Column,00F-4507-AN,Core-shell peptide XB-C18 column.,"150 x 2.1 mm; 3.6 um; 100 A; pH 1.5-9; 1034 bar max.",Peptides and peptide mapping.,Sign in to view country-specific pricing,Aeris,Reversed Phase,3.6 um,2.1 mm,150 mm,100 A,Core-shell peptide column,No,Ea,https://www.phenomenex.com/part/00f-4507-an,,SecurityGuard C18-Peptide / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use peptide C18 guard cartridge matching Aeris phase and ID."
SKU,Aeris 3.6 um WIDEPORE XB-C18 200 A LC Column,00G-4482-E0,Widepore core-shell XB-C18 column.,"250 x 4.6 mm; 3.6 um; 200 A.",Hydrophilic proteins, antibodies and large peptides.,$1,328.00 USD,Aeris,Reversed Phase,3.6 um,4.6 mm,250 mm,200 A,Widepore core-shell peptide/protein column,No,Ea,https://www.phenomenex.com/part/00g-4482-e0,,SecurityGuard Widepore/XB-C18 via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Widepore guard should match pore/phase; confirm in GuardFinder."
SKU,Yarra 3 um SEC-2000 LC Column,00H-4512-K0,GFC/SEC column for protein molecular-weight separations.,"300 x 7.8 mm; 3 um.",MW separation range 1-300 kDa.,Sign in to view country-specific pricing,Yarra,GFC / SEC,3 um,7.8 mm,300 mm,,GFC/SEC column,No,Ea,https://www.phenomenex.com/part/00h-4512-k0,,Yarra SEC-2000 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"SEC/GFC guard choice depends on SEC series and ID."
SKU,Yarra 3 um SEC-3000 LC Column,00H-4513-K0,GFC/SEC column for protein molecular-weight separations.,"300 x 7.8 mm; 3 um.",MW separation range 5-700 kDa.,Sign in to view country-specific pricing,Yarra,GFC / SEC,3 um,7.8 mm,300 mm,,GFC/SEC column,No,Ea,https://www.phenomenex.com/part/00h-4513-k0,,Yarra SEC-3000 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"SEC/GFC guard choice depends on SEC series and ID."
SKU,Yarra 3 um SEC-4000 LC Column,00H-4514-E0,GFC/SEC column for high MW biomolecules.,"300 x 4.6 mm; 3 um.",MW separation range 15-1,500 kDa.,$2,397.00 USD,Yarra,GFC / SEC,3 um,4.6 mm,300 mm,,GFC/SEC column,No,Ea,https://www.phenomenex.com/part/00h-4514-e0,,Yarra SEC-4000 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"SEC/GFC guard choice depends on SEC series and ID."
SKU,Phenogel 5 um 50 A LC Column,00H-0441-K0,Organic GPC column.,"300 x 7.8 mm; 5 um; 50 A; exclusion limit 3 x 10^3 Da.",Small organics; 100-3K MW polymer separations.,$2,329.00 USD,Phenogel,Organic GPC/SEC,5 um,7.8 mm,300 mm,50 A,Organic GPC column,No,Ea,https://www.phenomenex.com/part/00h-0441-k0,03B-2088-K0,"Phenogel 5 um Linear/Mixed guard column, 50 x 7.8 mm",https://www.phenomenex.com/part/03b-2088-k0,,Needs verification - general Phenogel guard,"Use Phenogel guard matched to column set/solvent; Linear/Mixed guard is common but confirm with Phenomenex."
SKU,Phenogel 5 um 100 A LC Column,00H-0442-K0,Organic GPC column.,"300 x 7.8 mm; 5 um; 100 A; exclusion limit 6 x 10^3 Da.",Small organics; 500-6K MW polymer separations.,$2,329.00 USD,Phenogel,Organic GPC/SEC,5 um,7.8 mm,300 mm,100 A,Organic GPC column,No,Ea,https://www.phenomenex.com/part/00h-0442-k0,03B-2088-K0,"Phenogel 5 um Linear/Mixed guard column, 50 x 7.8 mm",https://www.phenomenex.com/part/03b-2088-k0,,Needs verification - general Phenogel guard,"Use Phenogel guard matched to column set/solvent; Linear/Mixed guard is common but confirm with Phenomenex."
SKU,Phenogel 5 um 10E6 A LC Column,00H-0447-K0,Organic GPC column.,"300 x 7.8 mm; 5 um; 10E6 A.",High MW polymers, 60K-10,000K MW.,Sign in to view country-specific pricing,Phenogel,Organic GPC/SEC,5 um,7.8 mm,300 mm,10E6 A,Organic GPC column,No,Ea,https://www.phenomenex.com/part/00h-0447-k0,03B-2088-K0,"Phenogel 5 um Linear/Mixed guard column, 50 x 7.8 mm",https://www.phenomenex.com/part/03b-2088-k0,,Needs verification - general Phenogel guard,"Use Phenogel guard matched to column set/solvent; Linear/Mixed guard is common but confirm with Phenomenex."
SKU,Phenogel 5 um Linear/Mixed Guard Column,03B-2088-K0,Phenogel organic GPC guard column.,"50 x 7.8 mm; 5 um.",Guard for Phenogel organic GPC/SEC column sets.,Sign in to view country-specific pricing,Phenogel,Organic GPC/SEC Guard,5 um,7.8 mm,50 mm,,Guard column,Yes,Ea,https://www.phenomenex.com/part/03b-2088-k0,03B-2088-K0,Phenogel 5 um Linear/Mixed Guard Column,https://www.phenomenex.com/part/03b-2088-k0,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,Phenogel 10 um Guard Column,03B-2090-K0,Phenogel organic GPC guard column.,"50 x 7.8 mm; 10 um.",Guard for Phenogel 10 um column sets.,Sign in to view country-specific pricing,Phenogel,Organic GPC/SEC Guard,10 um,7.8 mm,50 mm,,Guard column,Yes,Ea,https://www.phenomenex.com/part/03b-2090-k0,03B-2090-K0,Phenogel 10 um Guard Column,https://www.phenomenex.com/part/03b-2090-k0,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,BioSep 5 um SEC-s3000 290 A LC Column,00H-2146-K0,BioSep silica-based GFC/SEC column.,"300 x 7.8 mm; 5 um; 290 A; exclusion limit 7 x 10^5 Da.",Protein SEC/GFC and biomolecule size separations.,Sign in to view country-specific pricing,BioSep-SEC-S,GFC / SEC,5 um,7.8 mm,300 mm,290 A,GFC/SEC column,No,Ea,https://www.phenomenex.com/part/00h-2146-k0,,BioSep SEC guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"Match guard to SEC-s series/pore size/ID."
SKU,BioSep 5 um SEC-s4000 500 A LC Column,00H-2147-K0,BioSep silica-based GFC/SEC column.,"300 x 7.8 mm; 5 um; 500 A; exclusion limit 1 x 10^6 Da.",Large biomolecule SEC/GFC separations.,$2,513.00 USD,BioSep-SEC-S,GFC / SEC,5 um,7.8 mm,300 mm,500 A,GFC/SEC column,No,Ea,https://www.phenomenex.com/part/00h-2147-k0,,BioSep SEC guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"Match guard to SEC-s series/pore size/ID."
SKU,PolySep-GFC-P 3000 LC Column,CH0-9228,PolySep GFC-P column.,300 x 7.8 mm.,Protein/aqueous GFC separations.,$2,753.00 USD,PolySep-GFC-P,GFC / SEC,,7.8 mm,300 mm,,GFC column,No,Ea,https://www.phenomenex.com/part/ch0-9228,,PolySep GFC-P guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"GFC guard choice depends on PolySep phase and column set."
SKU,Rezex ROA-Organic Acid H+ (8%) LC Column,00H-0138-K0,Ion-exclusion organic acid column.,"300 x 7.8 mm; 8 um resin.","Organic acids alone or with carbohydrates, alcohols, fatty acids, neutral compounds, ethanol, acetic acid, glycerol and amino sugars.",$2,170.00 USD,Rezex,Ion Exclusion,8 um,7.8 mm,300 mm,,Polymeric resin column,No,Ea,https://www.phenomenex.com/part/00h-0138-k0,03B-0138-K0,"Rezex ROA-Organic Acid H+ (8%) guard column, 50 x 7.8 mm",https://www.phenomenex.com/part/03b-0138-k0,,Matched,"Use exact matching Rezex ROA guard column."
SKU,Rezex ROA-Organic Acid H+ (8%) Guard Column,03B-0138-K0,Matching Rezex ROA guard column.,"50 x 7.8 mm; 8 um.",Guard for Rezex ROA-Organic Acid H+ (8%) analytical column.,Sign in to view country-specific pricing,Rezex,Ion Exclusion Guard,8 um,7.8 mm,50 mm,,Guard column,Yes,Ea,https://www.phenomenex.com/part/03b-0138-k0,03B-0138-K0,"Rezex ROA-Organic Acid H+ (8%) Guard Column",https://www.phenomenex.com/part/03b-0138-k0,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,Rezex RHM-Monosaccharide H+ (8%) LC Column,00H-0132-K0,Ion-exclusion/ligand-exchange monosaccharide column.,"300 x 7.8 mm; 8 um resin.",Monosaccharides with organic acids, fatty acids, alcohols, ketones, neutral compounds or inorganic salts.,$2,170.00 USD,Rezex,Ion Exclusion,8 um,7.8 mm,300 mm,,Polymeric resin column,No,Ea,https://www.phenomenex.com/part/00h-0132-k0,,Matching Rezex RHM guard via GuardFinder,https://www.phenomenex.com/resources/webtools/security-guard-selection,,Needs verification,"Use exact Rezex RHM guard, not ROA guard, unless Phenomenex confirms equivalence."
SKU,Rezex RFQ-Fast Acid H+ (8%) LC Column,00D-0223-K0,Fast acid ion-exclusion column.,"100 x 7.8 mm; 8 um resin.",Rapid screening of fruit quality, ethanol, acetic acid, glycerol and alcohol mixtures.,$1,791.00 USD,Rezex,Ion Exclusion,8 um,7.8 mm,100 mm,,Polymeric resin column,No,Ea,https://www.phenomenex.com/part/00d-0223-k0,,Matching Rezex RFQ guard via GuardFinder,https://www.phenomenex.com/resources/webtools/security-guard-selection,,Needs verification,"Use exact RFQ-compatible guard if available."
SKU,Jupiter 5 um C18 300 A LC Column,00G-4053-E0,Widepore C18 column for biomolecules.,"250 x 4.6 mm; 5 um; 300 A.",Peptides, proteins and large hydrophobic biomolecules.,$1,297.00 USD,Jupiter,Reversed Phase,5 um,4.6 mm,250 mm,300 A,Widepore silica,No,Ea,https://www.phenomenex.com/part/00g-4053-e0,AJ0-4287,"SecurityGuard C18 cartridges, 4 x 3.0 mm ID, 10/pk",https://www.phenomenex.com/part/aj0-4287,https://www.phenomenex.com/part/kj0-4282,Phase match; verify widepore,"C18 guard is phase-matched; verify widepore/biomolecule method in GuardFinder."
SKU,Jupiter 5 um C4 300 A LC Column,00G-4167-E0,Widepore C4 column for biomolecules.,"250 x 4.6 mm; 5 um; 300 A.",Intact proteins, peptides and large biomolecules needing less hydrophobic retention than C18.,$1,297.00 USD,Jupiter,Reversed Phase,5 um,4.6 mm,250 mm,300 A,Widepore silica,No,Ea,https://www.phenomenex.com/part/00g-4167-e0,,SecurityGuard C4/C5-family guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Confirm exact C4/widepore guard cartridge."
SKU,Clarity 1.7 um Oligo-MS 100 A LC Column,00B-4480-AN,UHPLC oligonucleotide LC-MS column.,"50 x 2.1 mm; 1.7 um; 100 A; 1034 bar max.",Rapid LC-MS analysis/QC of synthetic oligonucleotide research reagents and therapeutics.,Sign in to view country-specific pricing,Clarity,Reversed Phase / Oligo,1.7 um,2.1 mm,50 mm,100 A,UHPLC oligo column,No,Ea,https://www.phenomenex.com/part/00b-4480-an,,SecurityGuard Clarity Oligo-MS via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use oligo-MS phase-matched UHPLC guard if available."
SKU,Clarity 2.6 um Oligo-MS 100 A LC Column,00D-4479-AN,Oligonucleotide LC-MS column.,"100 x 2.1 mm; 2.6 um; 100 A; 1034 bar max.",Oligonucleotide LC-MS analysis and characterization.,Sign in to view country-specific pricing,Clarity,Reversed Phase / Oligo,2.6 um,2.1 mm,100 mm,100 A,LC-MS oligo column,No,Ea,https://www.phenomenex.com/part/00d-4479-an,,SecurityGuard Clarity Oligo-MS via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use oligo-MS phase-matched UHPLC guard if available."
SKU,Lux 5 um Cellulose-1 LC Column,00G-4459-E0,Polysaccharide chiral column.,"250 x 4.6 mm; 5 um; 1000 A; pH 2-9; 310 bar max.",Enantiomer/racemic mixture separations in LC/SFC modes.,Sign in to view country-specific pricing,Lux,Chiral,5 um,4.6 mm,250 mm,1000 A,Chiral polysaccharide,No,Ea,https://www.phenomenex.com/part/00g-4459-e0,,Lux Cellulose-1 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"Chiral guard must match exact Lux selector and solvent mode."
SKU,Lux 5 um Cellulose-3 LC Column,00G-4493-E0,Polysaccharide chiral column.,"250 x 4.6 mm; 5 um; 1000 A.",Enantiomeric separations by reversed phase, normal phase, polar organic and SFC.,$2,100.00 USD,Lux,Chiral,5 um,4.6 mm,250 mm,1000 A,Chiral polysaccharide,No,Ea,https://www.phenomenex.com/part/00g-4493-e0,,Lux Cellulose-3 guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,Needs verification,"Chiral guard must match exact Lux selector and solvent mode."
