Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware,Guard Column,Unit,Agilent Page SKU Count,Source URL,Completeness Note,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Agilent Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
SKU,Polaris NH2 180 A HPLC Column,A2014150X046,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,4.6 mm x 150 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,987.00 USD,Polaris,HILIC,3 um,4.6 mm,150 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014250X046,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,4.6 mm x 250 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,"1,118.00 USD",Polaris,HILIC,3 um,4.6 mm,250 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014050X046,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,4.6 mm x 50 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,695.00 USD,Polaris,HILIC,3 um,4.6 mm,50 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014050X020,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,2 mm x 50 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,682.00 USD,Polaris,HILIC,3 um,2 mm,50 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014050X030,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,3 mm x 50 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,695.00 USD,Polaris,HILIC,3 um,3 mm,50 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Agilent Prep 100A C18,449905-302,Preparative reversed-phase C18 column.,30 mm x 100 mm; 5 um; 100 A,Preparative reversed-phase purification.,"6,927.00 USD",Prep,Preparative Reversed Phase,5 um,30 mm,100 mm,100 A,,No,1 Each,19,https://www.agilent.com/en/product/small-molecule-columns/preparative-hplc-columns/reversed-phase-prep,First-page row from public Agilent product list.,,,https://www.agilent.com/en/product/small-molecule-columns/preparative-hplc-columns/reversed-phase-prep,,Needs verification - prep scale,"Preparative guard choice depends on column phase, ID, end fittings, and prep hardware; no single universal guard link was assigned."
SKU,Agilent Prep 100A C18,446905-302,Preparative reversed-phase C18 column.,30 mm x 50 mm; 5 um; 100 A,Preparative reversed-phase purification.,"4,898.00 USD",Prep,Preparative Reversed Phase,5 um,30 mm,50 mm,100 A,,No,1 Each,19,https://www.agilent.com/en/product/small-molecule-columns/preparative-hplc-columns/reversed-phase-prep,First-page row from public Agilent product list.,,,https://www.agilent.com/en/product/small-molecule-columns/preparative-hplc-columns/reversed-phase-prep,,Needs verification - prep scale,"Preparative guard choice depends on column phase, ID, end fittings, and prep hardware; no single universal guard link was assigned."
SKU,Altura Oligo HPH-C18 Column,227205-702,Ultra Inert technology for improved peak shape and sample recovery.,2.1 mm x 50 mm; 2.7 um; HPH-C18,Oligonucleotide separations; high-pH reversed phase; metal-sensitive analytes.,"1,050.00 USD",Altura Ultra Inert,Reversed Phase,2.7 um,2.1 mm,50 mm,,Ultra Inert SS,No,1 Each,26,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,Representative row from public Agilent result.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,,Needs verification - Ultra Inert hardware,No exact public guard column was confirmed for this Ultra Inert/Oligo HPH-C18 row; verify with Agilent to preserve ultra-inert flow-path compatibility.
SKU,Altura Oligo HPH-C18 Column,227210-702,Ultra Inert technology for improved peak shape and sample recovery.,2.1 mm x 100 mm; 2.7 um; HPH-C18,Oligonucleotide separations; high-pH reversed phase; metal-sensitive analytes.,"1,250.00 USD",Altura Ultra Inert,Reversed Phase,2.7 um,2.1 mm,100 mm,,Ultra Inert SS,No,1 Each,26,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,Representative row from public Agilent result.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,,Needs verification - Ultra Inert hardware,No exact public guard column was confirmed for this Ultra Inert/Oligo HPH-C18 row; verify with Agilent to preserve ultra-inert flow-path compatibility.
SKU,Altura Oligo HPH-C18 Column,227215-702,Ultra Inert technology for improved peak shape and sample recovery.,2.1 mm x 150 mm; 2.7 um; HPH-C18,Oligonucleotide separations; high-pH reversed phase; metal-sensitive analytes.,"1,450.00 USD",Altura Ultra Inert,Reversed Phase,2.7 um,2.1 mm,150 mm,,Ultra Inert SS,No,1 Each,26,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,Representative row from public Agilent result.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/ultra-inert-hplc-columns/altura-ultra-inert-hplc-columns,,Needs verification - Ultra Inert hardware,No exact public guard column was confirmed for this Ultra Inert/Oligo HPH-C18 row; verify with Agilent to preserve ultra-inert flow-path compatibility.
SKU,AdvanceBio SEC,PL1580-3302,SEC column for large biological molecules such as VLPs and large oligonucleotides.,4.6 mm x 150 mm; 2.7 um; 1000 A,Large molecule aggregate analysis; VLPs; large oligonucleotides.,"3,014.00 USD",AdvanceBio SEC,SEC,2.7 um,4.6 mm,150 mm,1000 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1302,"AdvanceBio SEC 1000 A Guard Column, 2.7 um, 4.6 x 50 mm",https://www.agilent.com/store/en_US/Prod-PL1580-1302/PL1580-1302,,Matched,
SKU,AdvanceBio SEC,PL1580-5302,SEC column for large biological molecules such as VLPs and large oligonucleotides.,4.6 mm x 300 mm; 2.7 um; 1000 A,Large molecule aggregate analysis; VLPs; large oligonucleotides.,"3,337.00 USD",AdvanceBio SEC,SEC,2.7 um,4.6 mm,300 mm,1000 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1302,"AdvanceBio SEC 1000 A Guard Column, 2.7 um, 4.6 x 50 mm",https://www.agilent.com/store/en_US/Prod-PL1580-1302/PL1580-1302,,Matched,
SKU,AdvanceBio SEC,PL1180-5302,SEC column for large biological molecules such as VLPs and large oligonucleotides.,7.8 mm x 300 mm; 2.7 um; 1000 A,Large molecule aggregate analysis; VLPs; large oligonucleotides.,"3,983.00 USD",AdvanceBio SEC,SEC,2.7 um,7.8 mm,300 mm,1000 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1180-1302,"AdvanceBio SEC 1000 A Guard Column, 2.7 um, 7.8 x 50 mm",https://www.agilent.com/store/en_US/Prod-PL1180-1302/PL1180-1302,,Matched,
SKU,AdvanceBio SEC,PL1580-3250,SEC column for protein and peptide aggregates/fragments; resolving range 1-80 kDa.,4.6 mm x 150 mm; 1.9 um; 120 A,Protein/peptide aggregate and fragment analysis.,"3,125.00 USD",AdvanceBio SEC,SEC,1.9 um,4.6 mm,150 mm,120 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1250,"AdvanceBio SEC 120 A Guard Column, 1.9 um, 4.6 x 30 mm",https://www.agilent.com/store/en_US/Prod-PL1580-1250/PL1580-1250,,Matched,
SKU,AdvanceBio SEC,PL1580-5250,SEC column for protein and peptide aggregates/fragments; resolving range 1-80 kDa.,4.6 mm x 300 mm; 1.9 um; 120 A,Protein/peptide aggregate and fragment analysis.,"4,442.00 USD",AdvanceBio SEC,SEC,1.9 um,4.6 mm,300 mm,120 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1250,"AdvanceBio SEC 120 A Guard Column, 1.9 um, 4.6 x 30 mm",https://www.agilent.com/store/en_US/Prod-PL1580-1250/PL1580-1250,,Matched,
SKU,AdvanceBio SEC,PL1580-1250,Guard column for longer analytical SEC columns.,4.6 mm x 30 mm; 1.9 um; 120 A,Guard/protection for SEC columns.,946.00 USD,AdvanceBio SEC,SEC,1.9 um,4.6 mm,30 mm,120 A,,Yes,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1250,AdvanceBio SEC,https://www.agilent.com/store/en_US/Prod-PL1580-1250/PL1580-1250,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,AdvanceBio SEC,PL1980-3250PK,PEEK-lined SEC column for protein/peptide aggregate and fragment analysis.,2.1 mm x 150 mm; 1.9 um; 120 A,Metal-free flow path for biomolecule SEC.,"2,417.00 USD",AdvanceBio SEC,SEC,1.9 um,2.1 mm,150 mm,120 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,,Needs verification - PEEK/microbore,No exact public 2.1 mm PEEK-lined AdvanceBio SEC guard was confirmed; verify with Agilent before ordering.
SKU,AdvanceBio SEC,PL1980-1250PK,PEEK-lined short SEC column.,2.1 mm x 50 mm; 1.9 um; 120 A,Metal-free flow path for biomolecule SEC.,"2,233.00 USD",AdvanceBio SEC,SEC,1.9 um,2.1 mm,50 mm,120 A,,No,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,,Needs verification - PEEK/microbore,No exact public 2.1 mm PEEK-lined AdvanceBio SEC guard was confirmed; verify with Agilent before ordering.
SKU,AdvanceBio SEC,PL1580-3350,SEC column resolving range 0.1-120 kDa.,4.6 mm x 150 mm; 2.7 um; 130 A,Peptides and small proteins.,"1,779.00 USD",AdvanceBio SEC,SEC,2.7 um,4.6 mm,150 mm,130 A,,,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1350,"AdvanceBio SEC 130 A Guard Column, 2.7 um, 4.6 x 50 mm",https://www.agilent.com/store/en_US/Prod-PL1580-1350/PL1580-1350,,Matched,
SKU,AdvanceBio SEC,PL1580-5350,SEC column resolving range 0.1-120 kDa.,4.6 mm x 300 mm; 2.7 um; 130 A,Peptides and small proteins.,"2,453.00 USD",AdvanceBio SEC,SEC,2.7 um,4.6 mm,300 mm,130 A,,,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1350,"AdvanceBio SEC 130 A Guard Column, 2.7 um, 4.6 x 50 mm",https://www.agilent.com/store/en_US/Prod-PL1580-1350/PL1580-1350,,Matched,
SKU,AdvanceBio SEC,PL1580-1350,SEC guard column.,4.6 mm x 50 mm; 2.7 um; 130 A,Guard/protection for SEC columns.,911.00 USD,AdvanceBio SEC,SEC,2.7 um,4.6 mm,50 mm,130 A,,Yes,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1580-1350,AdvanceBio SEC,https://www.agilent.com/store/en_US/Prod-PL1580-1350/PL1580-1350,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,AdvanceBio SEC,PL1180-3350,SEC column resolving range 0.1-120 kDa.,7.8 mm x 150 mm; 2.7 um; 130 A,Peptides and small proteins.,"2,032.00 USD",AdvanceBio SEC,SEC,2.7 um,7.8 mm,150 mm,130 A,,,1 Each,32,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/advancebio-sec,First-page row from Agilent public product list.,PL1180-1350,"AdvanceBio SEC 130 A Guard Column, 2.7 um, 7.8 x 50 mm",https://www.agilent.com/store/en_US/Prod-PL1180-1350/PL1180-1350,,Matched,
SKU,AdvanceBio Amide HILIC Column,858750-913,Amide HILIC chemistry for glycan separations.,2.1 mm x 100 mm; 1.8 um; 300 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,Request Quote,AdvanceBio Glycan Mapping / Amide HILIC,HILIC,1.8 um,2.1 mm,100 mm,300 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,No public list price on indexed row.,821725-905,"AdvanceBio Glycan Mapping 300 A, 2.1 x 5 mm, 1.8 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-905/821725-905,,Matched,
SKU,AdvanceBio Amide HILIC Column,859750-913,Amide HILIC chemistry for glycan separations.,2.1 mm x 150 mm; 1.8 um; 300 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,Request Quote,AdvanceBio Glycan Mapping / Amide HILIC,HILIC,1.8 um,2.1 mm,150 mm,300 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,No public list price on indexed row.,821725-905,"AdvanceBio Glycan Mapping 300 A, 2.1 x 5 mm, 1.8 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-905/821725-905,,Matched,
SKU,AdvanceBio Glycan Mapping,685775-913,Amide HILIC chemistry for glycan separations.,2.1 mm x 100 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,136.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,2.1 mm,100 mm,120 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,First-page row from public Agilent product list.,821725-906,"AdvanceBio Glycan Mapping 120 A, 2.1 x 5 mm, 2.7 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-906/821725-906,,Matched,
SKU,AdvanceBio Glycan Mapping,683775-913,Amide HILIC chemistry for glycan separations.,2.1 mm x 150 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,238.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,2.1 mm,150 mm,120 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,First-page row from public Agilent product list.,821725-906,"AdvanceBio Glycan Mapping 120 A, 2.1 x 5 mm, 2.7 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-906/821725-906,,Matched,
SKU,AdvanceBio Glycan Mapping,651750-913,Amide HILIC chemistry for glycan separations.,2.1 mm x 250 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,458.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,2.1 mm,250 mm,120 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,First-page row from public Agilent product list.,821725-906,"AdvanceBio Glycan Mapping 120 A, 2.1 x 5 mm, 2.7 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-906/821725-906,,Matched,
SKU,"AdvanceBio Glycan Mapping Guard, 3/pk",821725-906,Amide HILIC chemistry for glycan separations.,2.1 mm x 5 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,877.00 USD,AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,2.1 mm,5 mm,120 A,,Yes,3 Pack,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,Guard column.,821725-906,"AdvanceBio Glycan Mapping Guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-906/821725-906,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,AdvanceBio Glycan Mapping,685975-913,Amide HILIC chemistry for glycan separations.,4.6 mm x 100 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,170.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,4.6 mm,100 mm,120 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,First-page row from public Agilent product list.,820750-905,"AdvanceBio Glycan Mapping 120 A, 4.6 x 5 mm, 2.7 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-820750-905/820750-905,,Matched,
SKU,AdvanceBio Glycan Mapping,683975-913,Amide HILIC chemistry for glycan separations.,4.6 mm x 150 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,238.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,4.6 mm,150 mm,120 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,Temporarily unavailable per indexed row.,820750-905,"AdvanceBio Glycan Mapping 120 A, 4.6 x 5 mm, 2.7 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-820750-905/820750-905,,Matched,
SKU,AdvanceBio Glycan Mapping,680975-913,Amide HILIC chemistry for glycan separations.,4.6 mm x 250 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,526.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,4.6 mm,250 mm,120 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,Temporarily unavailable per indexed row.,820750-905,"AdvanceBio Glycan Mapping 120 A, 4.6 x 5 mm, 2.7 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-820750-905/820750-905,,Matched,
SKU,"AdvanceBio Glycan Mapping Guard, 3/pk",820750-905,Amide HILIC chemistry for glycan separations.,4.6 mm x 5 mm; 2.7 um; 120 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,877.00 USD,AdvanceBio Glycan Mapping / Amide HILIC,HILIC,2.7 um,4.6 mm,5 mm,120 A,,Yes,3 Pack,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,Guard column.,820750-905,"AdvanceBio Glycan Mapping Guard, 3/pk",https://www.agilent.com/store/en_US/Prod-820750-905/820750-905,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,AdvanceBio Glycan Mapping,858700-913,Amide HILIC chemistry for glycan separations.,2.1 mm x 100 mm; 1.8 um; 300 A,Glycan mapping; labeled and unlabeled glycan analysis; fluorescence/MS detection.,"1,072.00 USD",AdvanceBio Glycan Mapping / Amide HILIC,HILIC,1.8 um,2.1 mm,100 mm,300 A,,No,1 Each,14,https://www.agilent.com/en/product/biopharma-hplc-analysis/glycan-analysis/glycan-analysis-columns/advancebio-glycan-mapping,First-page row from public Agilent product list.,821725-905,"AdvanceBio Glycan Mapping 300 A, 2.1 x 5 mm, 1.8 um guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-905/821725-905,,Matched,
SKU,AdvanceBio Peptide Plus,699775-949,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,2.1 mm x 50 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,040.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1 mm,50 mm,100 A,SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,821725-954,"UHPLC Guard, AdvanceBio Peptide Plus, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-954/821725-954,,Matched,
SKU,AdvanceBio Peptide Plus,693975-349,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,3.0 mm x 150 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,418.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,3.0 mm,150 mm,100 A,SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,823750-952,"UHPLC Guard, AdvanceBio Peptide Plus, 3.0 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-823750-952/823750-952,,Matched,
SKU,AdvanceBio Peptide Plus,693975-949,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,4.6 mm x 150 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,441.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,4.6 mm,150 mm,100 A,SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,820750-940,"UHPLC Guard, AdvanceBio Peptide Plus, 4.6 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-820750-940/820750-940,,Matched,
SKU,AdvanceBio Peptide Plus,695775-949,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,2.1 mm x 150 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,373.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1 mm,150 mm,100 A,SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,821725-954,"UHPLC Guard, AdvanceBio Peptide Plus, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-954/821725-954,,Matched,
SKU,AdvanceBio Peptide Plus,693775-949,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,2.1 mm x 250 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,653.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1 mm,250 mm,100 A,SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,821725-954,"UHPLC Guard, AdvanceBio Peptide Plus, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-954/821725-954,,Matched,
SKU,AdvanceBio Peptide Plus Method Validation Kit,695775-949K,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,2.1 mm x 150 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","3,786.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1 mm,150 mm,100 A,SS,No,3 Pack,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,821725-954,"UHPLC Guard, AdvanceBio Peptide Plus, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-954/821725-954,,Matched,
SKU,Altura Peptide Plus,227210-903,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,2.1 mm x 100 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,250.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1 mm,100 mm,100 A,Ultra Inert SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,821725-954,"UHPLC Guard, AdvanceBio Peptide Plus, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-954/821725-954,,Phase match; verify Ultra Inert hardware,This is the standard AdvanceBio Peptide Plus guard; verify if an Ultra Inert guard/hardware is required for the Altura row.
SKU,Altura Peptide Plus,227215-903,Charged-surface C18 reversed-phase column optimized for challenging peptide separations.,2.1 mm x 150 mm; 2.7 um; 100 A,"Peptides, impurities, post-translational modifications, LC/MS peptide separations.","1,450.00 USD",AdvanceBio Peptide Plus,Reversed Phase,2.7 um,2.1 mm,150 mm,100 A,Ultra Inert SS,No,1 Each,16,https://www.agilent.com/en/product/biopharma-hplc-analysis/peptide-mapping/advancebio-peptide-plus,First-page row from public Agilent product list.,821725-954,"UHPLC Guard, AdvanceBio Peptide Plus, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-954/821725-954,,Phase match; verify Ultra Inert hardware,This is the standard AdvanceBio Peptide Plus guard; verify if an Ultra Inert guard/hardware is required for the Altura row.
